model,channel,anchor_family,n_edges,ordinary_whole_vector_coherence,residual_family_coherence,mean_residual_to_anchor_cosine,residual_coherence_improvement
bge_m3_1024d,cn_def,ROOT-56DE,4,0.5075947642326355,0.5830022692680359,0.5567977279424667,0.0754075050354003
bge_m3_1024d,cn_def,ROOT-56E0,4,0.5281340479850769,0.5311756134033203,0.560944989323616,0.0030415654182434
bge_m3_1024d,cn_def,ROOT-56FA,5,0.4830667972564697,0.5326085090637207,0.5679686903953552,0.0495417118072509
bge_m3_1024d,cn_def,ROOT-571F,4,0.4199491441249847,0.4833764135837555,0.5281926542520523,0.0634272694587707
bge_m3_1024d,cn_def,ROOT-572D,14,0.4976451098918915,0.5250217914581299,0.4479035309382847,0.0273766815662384
bge_m3_1024d,cn_def,ROOT-5750,3,0.4976485669612884,0.5642518997192383,0.5274167756239573,0.0666033327579498
bge_m3_1024d,cn_def,ROOT-57F7,2,0.4575448036193847,0.4872720241546631,0.574885755777359,0.0297272205352783
bge_m3_1024d,cn_def,ROOT-5807,6,0.4547004103660583,0.4696875810623169,0.53626016775767,0.0149871706962585
bge_m3_1024d,cn_def,ROOT-582F,14,0.5501260757446289,0.5667609572410583,0.5904929446322578,0.0166348814964294
bge_m3_1024d,cn_def,ROOT-58EB,4,0.5722991824150085,0.6156783103942871,0.5787785053253174,0.0433791279792785
bge_m3_1024d,cn_def,ROOT-58EC,8,0.5606356859207153,0.6074314117431641,0.5430997908115387,0.0467957258224487
bge_m3_1024d,cn_def,ROOT-58F4,3,0.7042620778083801,0.6763319969177246,0.7314711809158325,-0.0279300808906555
bge_m3_1024d,cn_def,ROOT-58F9,2,0.5620927810668945,0.5909126996994019,0.5857728123664856,0.0288199186325073
bge_m3_1024d,cn_def,ROOT-58FD,3,0.5031346678733826,0.5500544905662537,0.5411026179790497,0.046919822692871
bge_m3_1024d,cn_def,ROOT-5917,7,0.5024697184562683,0.5079924464225769,0.6154636314937046,0.0055227279663085
bge_m3_1024d,cn_def,ROOT-591A,4,0.5439611077308655,0.5605664253234863,0.5663086324930191,0.0166053175926208
bge_m3_1024d,cn_def,ROOT-591C,3,0.5318570733070374,0.5789633393287659,0.5407048861185709,0.0471062660217285
bge_m3_1024d,cn_def,ROOT-5929,3,0.3848330080509186,0.3604215681552887,0.4853078722953796,-0.0244114398956298
bge_m3_1024d,cn_def,ROOT-592B,3,0.4821055829524994,0.5373181700706482,0.4816627403100331,0.0552125871181488
bge_m3_1024d,cn_def,ROOT-592D,4,0.5650998950004578,0.5627161860466003,0.6594891548156738,-0.0023837089538574
bge_m3_1024d,cn_def,ROOT-592E,10,0.5190431475639343,0.5855891108512878,0.6093219548463822,0.0665459632873535
bge_m3_1024d,cn_def,ROOT-5932,2,0.5127460956573486,0.5722832679748535,0.5771073997020721,0.0595371723175048
bge_m3_1024d,cn_def,ROOT-5937,3,0.4699775278568268,0.5043301582336426,0.465213139851888,0.0343526303768157
bge_m3_1024d,cn_def,ROOT-593E,9,0.5169124603271484,0.5543202757835388,0.5404992467827268,0.0374078154563903
bge_m3_1024d,cn_def,ROOT-5944,5,0.4651266038417816,0.4285858273506164,0.4841449499130249,-0.0365407764911651
bge_m3_1024d,cn_def,ROOT-5949,3,0.5936264991760254,0.6210622787475586,0.6362246870994568,0.0274357795715332
bge_m3_1024d,cn_def,ROOT-594F,2,0.5594508647918701,0.5850554704666138,0.5531861484050751,0.0256046056747436
bge_m3_1024d,cn_def,ROOT-5950,4,0.6111116409301758,0.6364453434944153,0.6604436933994293,0.0253337025642395
bge_m3_1024d,cn_def,ROOT-595A,2,0.5631051063537598,0.6133601665496826,0.5373245775699615,0.0502550601959228
bge_m3_1024d,cn_def,ROOT-5967,4,0.4933668076992035,0.54034423828125,0.537763386964798,0.0469774305820465
bge_m3_1024d,cn_def,ROOT-5973,14,0.5161511301994324,0.5209875702857971,0.5417302740471703,0.0048364400863647
bge_m3_1024d,cn_def,ROOT-59A5,2,0.5049002170562744,0.5542806386947632,0.5240194201469421,0.0493804216384887
bge_m3_1024d,cn_def,ROOT-59BB,4,0.5219971537590027,0.5523787140846252,0.5232394635677338,0.0303815603256225
bge_m3_1024d,cn_def,ROOT-59BE,2,0.5722193717956543,0.5743821859359741,0.4458737075328827,0.0021628141403198
bge_m3_1024d,cn_def,ROOT-5A41,10,0.5230847001075745,0.551130473613739,0.3862488389015198,0.0280457735061645
bge_m3_1024d,cn_def,ROOT-5B50,3,0.5739998817443848,0.4956369400024414,0.4816426734129588,-0.0783629417419433
bge_m3_1024d,cn_def,ROOT-5B5A,4,0.4927349984645843,0.5222349166870117,0.5003715604543686,0.0294999182224273
bge_m3_1024d,cn_def,ROOT-5B5D,2,0.3743753433227539,0.4201462268829345,0.4711624681949615,0.0457708835601806
bge_m3_1024d,cn_def,ROOT-5B6B,2,0.5453011989593506,0.6022958755493164,0.651515781879425,0.0569946765899658
