model,channel,root_family_id,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-5E7A,447.5,667.5
bge_m3_1024d,cn_def,ROOT-5EB6,55.5,61.0
bge_m3_1024d,cn_def,ROOT-5EFA,-1066.5,-1367.0
bge_m3_1024d,cn_def,ROOT-5F0B,-12.083333333333334,27.5
bge_m3_1024d,cn_def,ROOT-5F17,-368.14285714285717,46.57142857142857
bge_m3_1024d,cn_def,ROOT-5F1F,-9.666666666666666,106.44444444444444
bge_m3_1024d,cn_def,ROOT-5F54,-350.0,-510.4
bge_m3_1024d,cn_def,ROOT-5F56,-413.75,-186.75
bge_m3_1024d,cn_def,ROOT-5F9E,-83.2,90.2
bge_m3_1024d,cn_def,ROOT-5FC5,-365.4,-707.6
bge_m3_1024d,cn_def,ROOT-610F,504.25,1263.75
bge_m3_1024d,cn_def,ROOT-620D,-103.33333333333333,-25.0
bge_m3_1024d,cn_def,ROOT-6211,-123.42857142857143,-63.42857142857143
bge_m3_1024d,cn_def,ROOT-6214,-127.54545454545455,-8.909090909090908
bge_m3_1024d,cn_def,ROOT-6216,-497.1666666666667,-264.0
bge_m3_1024d,cn_def,ROOT-6236,138.2,-139.2
bge_m3_1024d,cn_def,ROOT-6241,-488.14285714285717,-366.85714285714283
bge_m3_1024d,cn_def,ROOT-624B,-12.0,-3.7142857142857144
bge_m3_1024d,cn_def,ROOT-652F,123.0909090909091,197.9090909090909
bge_m3_1024d,cn_def,ROOT-6538,-4.8,43.9
bge_m3_1024d,cn_def,ROOT-6544,-545.0,5.0
bge_m3_1024d,cn_def,ROOT-656B,-104.0,495.75
bge_m3_1024d,cn_def,ROOT-6587,298.8888888888889,411.77777777777777
bge_m3_1024d,cn_def,ROOT-65A4,28.307692307692307,410.0769230769231
bge_m3_1024d,cn_def,ROOT-65AC,265.0,554.25
bge_m3_1024d,cn_def,ROOT-65B9,44.46153846153846,31.615384615384617
bge_m3_1024d,cn_def,ROOT-65C1,541.75,1001.75
bge_m3_1024d,cn_def,ROOT-65E6,-140.0,-25.0
bge_m3_1024d,cn_def,ROOT-65E8,-45.833333333333336,20.5
bge_m3_1024d,cn_def,ROOT-65EC,-61.857142857142854,-240.71428571428572
bge_m3_1024d,cn_def,ROOT-6606,60.0,30.2
bge_m3_1024d,cn_def,ROOT-660C,874.5,580.0
bge_m3_1024d,cn_def,ROOT-6613,-118.28571428571429,377.42857142857144
bge_m3_1024d,cn_def,ROOT-661C,-32.1,198.9
bge_m3_1024d,cn_def,ROOT-661F,844.5,450.5
bge_m3_1024d,cn_def,ROOT-662F,-116.5,-350.8333333333333
bge_m3_1024d,cn_def,ROOT-66FC,-263.55555555555554,-204.88888888888889
bge_m3_1024d,cn_def,ROOT-66FE,-144.625,321.5
bge_m3_1024d,cn_def,ROOT-6701,486.0,102.25
bge_m3_1024d,cn_def,ROOT-6703,41.42857142857143,204.14285714285714
bge_m3_1024d,cn_def,ROOT-670B,-468.4,-112.2
bge_m3_1024d,cn_def,ROOT-672A,-1.25,-92.25
bge_m3_1024d,cn_def,ROOT-6731,37.888888888888886,-75.77777777777777
bge_m3_1024d,cn_def,ROOT-675F,108.25,532.25
bge_m3_1024d,cn_def,ROOT-6771,-425.625,-362.0
bge_m3_1024d,cn_def,ROOT-6797,-100.14285714285714,136.0
bge_m3_1024d,cn_def,ROOT-679C,-128.88888888888889,-225.66666666666666
bge_m3_1024d,cn_def,ROOT-67BC,-100.66666666666667,-224.83333333333334
bge_m3_1024d,cn_def,ROOT-67EC,-212.05555555555554,-30.444444444444443
bge_m3_1024d,cn_def,ROOT-6A02,308.75,374.0
bge_m3_1024d,cn_def,ROOT-6B2E,-126.6,-141.0
bge_m3_1024d,cn_def,ROOT-6B63,-185.25,-530.25
bge_m3_1024d,cn_def,ROOT-6BB8,-346.25,-306.5
bge_m3_1024d,cn_def,ROOT-6BCE,88.28571428571429,290.85714285714283
bge_m3_1024d,cn_def,ROOT-6BD4,-337.75,-402.625
bge_m3_1024d,cn_def,ROOT-6BDA,379.0,373.0
bge_m3_1024d,cn_def,ROOT-6BDB,-200.0,-174.25
bge_m3_1024d,cn_def,ROOT-6C0F,-387.75,-710.5
bge_m3_1024d,cn_def,ROOT-6C10,27.125,149.0
bge_m3_1024d,cn_def,ROOT-708E,-29.2,-28.6
bge_m3_1024d,cn_def,ROOT-7097,-327.5833333333333,-301.8333333333333
bge_m3_1024d,cn_def,ROOT-722D,199.5,-4.833333333333333
bge_m3_1024d,cn_def,ROOT-7230,-535.8571428571429,-750.5714285714286
bge_m3_1024d,cn_def,ROOT-7236,335.90909090909093,632.7272727272727
bge_m3_1024d,cn_def,ROOT-723F,155.75,562.0
bge_m3_1024d,cn_def,ROOT-7259,-557.8,-494.4
bge_m3_1024d,cn_def,ROOT-72AE,-464.0,-605.75
bge_m3_1024d,cn_def,ROOT-7384,43.666666666666664,5.0
bge_m3_1024d,cn_def,ROOT-74DC,97.5,72.0
bge_m3_1024d,cn_def,ROOT-7518,523.7142857142857,794.7142857142857
bge_m3_1024d,cn_def,ROOT-751A,1196.5714285714287,1792.4285714285713
bge_m3_1024d,cn_def,ROOT-751F,572.8333333333334,494.1666666666667
bge_m3_1024d,cn_def,ROOT-7528,-12.142857142857142,-140.57142857142858
bge_m3_1024d,cn_def,ROOT-752B,216.94117647058823,872.8235294117648
bge_m3_1024d,cn_def,ROOT-7531,24.90909090909091,4.818181818181818
bge_m3_1024d,cn_def,ROOT-7532,-96.25,-44.125
bge_m3_1024d,cn_def,ROOT-7533,101.25,101.5
bge_m3_1024d,cn_def,ROOT-7550,-467.6,-760.0
bge_m3_1024d,cn_def,ROOT-757E,80.5,423.25
bge_m3_1024d,cn_def,ROOT-767D,-373.15384615384613,-44.0
bge_m3_1024d,cn_def,ROOT-7686,106.6,464.4
bge_m3_1024d,cn_def,ROOT-7687,-125.5,-32.75
bge_m3_1024d,cn_def,ROOT-76AE,63.583333333333336,101.66666666666667
bge_m3_1024d,cn_def,ROOT-76E3,-89.0909090909091,118.54545454545455
bge_m3_1024d,cn_def,ROOT-76F8,-189.4,-358.0
bge_m3_1024d,cn_def,ROOT-77DB,-61.4,214.0
bge_m3_1024d,cn_def,ROOT-77E2,164.4,169.2
bge_m3_1024d,cn_def,ROOT-77F3,-657.0,-1072.75
bge_m3_1024d,cn_def,ROOT-79BA,-748.0,-544.6
