model,channel,anchor_family,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-5B98,1649.2857142857142,1929.0
bge_m3_1024d,cn_def,ROOT-5B9A,1954.6666666666667,2239.6666666666665
bge_m3_1024d,cn_def,ROOT-5B9C,-6.0,-1.0
bge_m3_1024d,cn_def,ROOT-5BA3,2097.5,2853.75
bge_m3_1024d,cn_def,ROOT-5BB3,2062.0,1733.0
bge_m3_1024d,cn_def,ROOT-5BB6,940.5,669.0
bge_m3_1024d,cn_def,ROOT-5BBF,1671.0,1881.0
bge_m3_1024d,cn_def,ROOT-5BC5,-89.0,-47.0
bge_m3_1024d,cn_def,ROOT-5BCD,1363.0,1668.6
bge_m3_1024d,cn_def,ROOT-5BF8,967.75,920.75
bge_m3_1024d,cn_def,ROOT-5C07,784.0,1121.4
bge_m3_1024d,cn_def,ROOT-5C08,933.8333333333334,1396.6666666666667
bge_m3_1024d,cn_def,ROOT-5C09,894.3333333333334,1087.6666666666667
bge_m3_1024d,cn_def,ROOT-5C0A,1997.25,1619.25
bge_m3_1024d,cn_def,ROOT-5C0B,882.0,3251.0
bge_m3_1024d,cn_def,ROOT-5C0D,1492.0,2809.0
bge_m3_1024d,cn_def,ROOT-5C0F,1187.7894736842106,1751.578947368421
bge_m3_1024d,cn_def,ROOT-5C17,1604.25,1354.0
bge_m3_1024d,cn_def,ROOT-5C1A,1105.6666666666667,1272.2857142857142
bge_m3_1024d,cn_def,ROOT-5C39,1046.0,1345.75
bge_m3_1024d,cn_def,ROOT-5C3E,1030.0,885.0
bge_m3_1024d,cn_def,ROOT-5C40,3051.0,2980.0
bge_m3_1024d,cn_def,ROOT-5C48,920.5,1668.0
bge_m3_1024d,cn_def,ROOT-5C4B,1742.6,2538.4
bge_m3_1024d,cn_def,ROOT-5C55,1850.5,1350.0
bge_m3_1024d,cn_def,ROOT-5C6F,958.1666666666666,1484.6666666666667
bge_m3_1024d,cn_def,ROOT-5C70,1634.0,2695.25
bge_m3_1024d,cn_def,ROOT-5C71,1276.75,1204.5
bge_m3_1024d,cn_def,ROOT-5CA1,491.5,1189.25
bge_m3_1024d,cn_def,ROOT-5CF6,1762.0,1915.0
bge_m3_1024d,cn_def,ROOT-5DDD,737.5,1106.0
bge_m3_1024d,cn_def,ROOT-5DDE,696.5,1415.5
bge_m3_1024d,cn_def,ROOT-5DDF,2135.0,4291.0
bge_m3_1024d,cn_def,ROOT-5DE2,2331.0,1039.0
bge_m3_1024d,cn_def,ROOT-5DE5,1108.7222222222222,1052.6666666666667
bge_m3_1024d,cn_def,ROOT-5DE6,465.0,771.0
bge_m3_1024d,cn_def,ROOT-5DE8,864.8571428571429,1184.4285714285713
bge_m3_1024d,cn_def,ROOT-5DEB,1340.0,1069.0
bge_m3_1024d,cn_def,ROOT-5DEE,958.0,828.5
bge_m3_1024d,cn_def,ROOT-5DF1,903.8888888888889,820.4444444444445
bge_m3_1024d,cn_def,ROOT-5DF3,343.0,852.3333333333334
bge_m3_1024d,cn_def,ROOT-5DF4,1841.5714285714287,2580.1428571428573
bge_m3_1024d,cn_def,ROOT-5DFF,906.5,788.0
bge_m3_1024d,cn_def,ROOT-5E00,2727.0,2598.0
bge_m3_1024d,cn_def,ROOT-5E0C,222.75,196.25
bge_m3_1024d,cn_def,ROOT-5E1A,738.0,474.0
bge_m3_1024d,cn_def,ROOT-5E1D,984.0,1321.0
bge_m3_1024d,cn_def,ROOT-5E2D,0.0,0.0
bge_m3_1024d,cn_def,ROOT-5E36,262.0,394.0
bge_m3_1024d,cn_def,ROOT-5E72,857.8666666666667,1464.4666666666667
bge_m3_1024d,cn_def,ROOT-5E73,780.2857142857143,663.5714285714286
bge_m3_1024d,cn_def,ROOT-5E78,-7.0,-1.0
bge_m3_1024d,cn_def,ROOT-5E79,695.0,555.0
bge_m3_1024d,cn_def,ROOT-5E7A,505.6,356.4
bge_m3_1024d,cn_def,ROOT-5E9A,1572.0,70.33333333333333
bge_m3_1024d,cn_def,ROOT-5EB6,1631.3333333333333,1837.3333333333333
bge_m3_1024d,cn_def,ROOT-5EB7,1452.5,2047.5
bge_m3_1024d,cn_def,ROOT-5EFA,1725.25,1575.25
bge_m3_1024d,cn_def,ROOT-5F01,1378.0,874.0
bge_m3_1024d,cn_def,ROOT-5F0B,1140.5454545454545,1784.3636363636363
bge_m3_1024d,cn_def,ROOT-5F0D,3095.0,2219.0
bge_m3_1024d,cn_def,ROOT-5F13,1538.5,466.5
bge_m3_1024d,cn_def,ROOT-5F15,4103.0,5379.0
bge_m3_1024d,cn_def,ROOT-5F17,631.2857142857143,870.2857142857143
bge_m3_1024d,cn_def,ROOT-5F1F,924.8888888888889,699.3333333333334
bge_m3_1024d,cn_def,ROOT-5F31,989.75,1404.5
