edge_id,anchor_char,derived_char,added_component,anchor_role,added_component_role,phonophore_root,recursive_depth,family_id_root,family_id_immediate,edge_structure_pattern,layout,edge_status,edge_confidence,edge_dispute_flag,source_reference,anchor_in_population,anchor_char_raw,phonophore_root_raw,added_component_raw,edge_structure_pattern_raw,anchor_char_normalized,added_component_normalized,edge_structure_pattern_normalized,normalization_applied,normalization_map_id,normalization_rule_category,normalization_confidence,normalization_notes,phonophore_root_normalized,normalization_collapse_group,normalization_collapse_flag
EDGE-00598,𣬉,蓖,艹,phonophore,structural_remainder_presumed_semantic,𣬉,1,ROOT-23B09,IMM-23B09,⿱艹𣬉,top-bottom,missing_anchor_from_frozen_population,high,False,CJKVI ids-analysis: 𣬉聲,False,𣬉,𣬉,艹,⿱艹𣬉,𣬉,艹,⿱艹𣬉,False,,,not_applicable,No accepted mapping applied.,𣬉,COLLAPSE-06135,False
EDGE-00599,𣬉,貔,豸,phonophore,structural_remainder_presumed_semantic,𣬉,1,ROOT-23B09,IMM-23B09,⿰豸𣬉,left-right,missing_anchor_from_frozen_population,high,False,CJKVI ids-analysis: 𣬉聲,False,𣬉,𣬉,豸,⿰豸𣬉,𣬉,豸,⿰豸𣬉,False,,,not_applicable,No accepted mapping applied.,𣬉,COLLAPSE-06136,False
EDGE-00600,比,玭,王,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰王比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,王,⿰王比,比,王,⿰王比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03847,False
EDGE-00601,比,琵,𤤴,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿱𤤴比,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,𤤴,⿱𤤴比,比,𤤴,⿱𤤴比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03848,False
EDGE-00602,比,砒,石,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰石比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,石,⿰石比,比,石,⿰石比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03849,False
EDGE-00603,比,秕,禾,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰禾比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,禾,⿰禾比,比,禾,⿰禾比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03850,False
EDGE-00604,比,粊,米,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿱比米,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,米,⿱比米,比,米,⿱比米,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03851,False
EDGE-00605,比,紕,糸,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰糸比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,糸,⿰糸比,比,糸,⿰糸比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03852,False
EDGE-00606,比,芘,艹,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿱艹比,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,艹,⿱艹比,比,艹,⿱艹比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03853,False
EDGE-00607,比,蚍,虫,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰虫比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,虫,⿰虫比,比,虫,⿰虫比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03854,False
