model,channel,support_threshold,n_heldout_cases,n_p_root_families,n_distinct_mapped_s_contexts,candidate_count,percent_rank_improved,percent_rank_worsened,percent_rank_tied,top1_rescues,top1_losses,top1_net,baseline_recall_at_1,baseline_recall_at_5,baseline_recall_at_10,baseline_mrr,baseline_median_rank,baseline_mean_rank,offset_recall_at_1,offset_recall_at_5,offset_recall_at_10,offset_mrr,offset_median_rank,offset_mean_rank,recall_at_1_gain,recall_at_5_gain,recall_at_10_gain,human_interpretation
gte_multilingual_base_768d,en_gloss_unihan,8,2667,181,190,9152,64.60442444694414,34.72065991751031,0.6749156355455568,19,1,18,0.0026246719160104987,0.011623547056617924,0.02099737532808399,0.010634879926331088,1262.0,2301.509561304837,0.009373828271466067,0.02962129733783277,0.048368953880764905,0.0246444529472873,1048.0,2086.496062992126,0.006749156355455569,0.017997750281214846,0.027371578552680915,
gte_multilingual_base_768d,zh_char,3,4763,474,220,11150,66.53369724963258,31.82867940373714,1.637623346630275,7,2,5,0.0039890825110224645,0.013646861221918959,0.025194205332773462,0.012266507111440837,4418.0,4333.551753096788,0.005038841066554693,0.015326474910770523,0.023514591643921896,0.011571292306740673,5545.0,4722.099727062776,0.0010497585555322283,0.0016796136888515643,-0.001679613688851566,"Across 4,763 held-out members of P families, the correct derived character was rank 1 in 0.40% using S alone and 0.50% after adding r_P."
gte_multilingual_base_768d,zh_char,5,4181,346,215,11150,66.77828270748624,31.547476680220043,1.6742406122937097,6,2,4,0.003826835685242765,0.014589811049988041,0.02654867256637168,0.012534621637382951,4425.0,4313.606553456111,0.004783544606553456,0.015546519971298732,0.023200191341784263,0.011320639294176737,5577.0,4742.2764888782585,0.0009567089213106906,0.0009567089213106915,-0.0033484812245874185,
gte_multilingual_base_768d,zh_char,8,3313,220,201,11150,66.73709628735284,31.482040446725023,1.7808632659221248,5,2,3,0.004829459704195593,0.016903108964684575,0.029278599456685782,0.014234285834618937,4197.0,4284.9070329006945,0.005734983398732267,0.018110473890733475,0.025354663447026863,0.012725230597626515,5601.0,4748.978267431331,0.0009055236945366739,0.0012073649260488997,-0.003923936009658919,
qwen3_0.6b_1024d,cn_def,3,2398,320,177,6039,54.67055879899917,43.57798165137615,1.7514595496246872,4,2,2,0.0050041701417848205,0.021684737281067557,0.03794829024186822,0.018386525519737476,1101.0,1710.207673060884,0.005838198498748957,0.021267723102585488,0.03586321934945788,0.01900452412268645,991.0,1585.4028356964136,0.0008340283569641367,-0.0004170141784820697,-0.0020850708924103414,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.50% using S alone and 0.58% after adding r_P."
qwen3_0.6b_1024d,cn_def,5,1804,185,164,6039,55.09977827050998,42.96008869179601,1.9401330376940134,4,1,3,0.004988913525498891,0.021618625277161862,0.037694013303769404,0.01820261689120889,1082.5,1705.4118625277163,0.0066518847006651885,0.02106430155210643,0.03547671840354767,0.019524798265375686,1030.5,1583.9739467849224,0.0016629711751662973,-0.0005543237250554313,-0.002217294900221732,
qwen3_0.6b_1024d,cn_def,8,1112,86,135,6039,56.38489208633094,41.81654676258993,1.7985611510791366,1,1,0,0.0044964028776978415,0.02158273381294964,0.03866906474820144,0.01798289369980793,1196.5,1725.1339928057555,0.0044964028776978415,0.018884892086330936,0.0368705035971223,0.01808494025368814,1047.5,1590.2005395683452,0.0,-0.0026978417266187056,-0.0017985611510791394,
qwen3_0.6b_1024d,en_def_translated_cn_def,3,2398,320,177,6039,53.085904920767305,44.99582985821518,1.9182652210175146,0,3,-3,0.004170141784820684,0.022935779816513763,0.03878231859883236,0.01782994062080597,1190.5,1793.4595496246873,0.0029190992493744786,0.022518765638031693,0.03878231859883236,0.01682979213447465,1190.5,1736.2572977481234,-0.0012510425354462051,-0.0004170141784820697,0.0,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.42% using S alone and 0.29% after adding r_P."
qwen3_0.6b_1024d,en_def_translated_cn_def,5,1804,185,164,6039,54.767184035476724,43.23725055432372,1.9955654101995564,0,3,-3,0.005543237250554324,0.022727272727272728,0.040465631929046564,0.018689954360874783,1208.0,1817.6873614190688,0.003880266075388027,0.022172949002217297,0.03991130820399113,0.017377221949446027,1216.0,1741.6308203991132,-0.0016629711751662973,-0.0005543237250554313,-0.0005543237250554348,
qwen3_0.6b_1024d,en_def_translated_cn_def,8,1112,86,135,6039,55.93525179856115,41.81654676258993,2.2482014388489207,0,3,-3,0.007194244604316547,0.02068345323741007,0.03776978417266187,0.01890339528599513,1246.5,1858.2553956834533,0.0044964028776978415,0.02068345323741007,0.03776978417266187,0.017332446441588663,1237.5,1758.6564748201438,-0.0026978417266187056,0.0,0.0,
