model,channel,support_threshold,matched_n,candidate_count,p_side_baseline_recall_at_1,p_side_offset_recall_at_1,p_side_recall_at_1_gain,p_side_baseline_recall_at_5,p_side_offset_recall_at_5,p_side_recall_at_5_gain,p_side_baseline_recall_at_10,p_side_offset_recall_at_10,p_side_recall_at_10_gain,p_side_baseline_mrr,p_side_offset_mrr,p_side_baseline_median_rank,p_side_offset_median_rank,p_side_baseline_mean_rank,p_side_offset_mean_rank,p_side_percent_rank_improved,p_side_top1_rescues,p_side_top1_losses,s_side_baseline_recall_at_1,s_side_offset_recall_at_1,s_side_recall_at_1_gain,s_side_baseline_recall_at_5,s_side_offset_recall_at_5,s_side_recall_at_5_gain,s_side_baseline_recall_at_10,s_side_offset_recall_at_10,s_side_recall_at_10_gain,s_side_baseline_mrr,s_side_offset_mrr,s_side_baseline_median_rank,s_side_offset_median_rank,s_side_baseline_mean_rank,s_side_offset_mean_rank,s_side_percent_rank_improved,s_side_top1_rescues,s_side_top1_losses
gte_multilingual_base_768d,en_gloss_unihan,8,2377,9152,0.0012620950778291964,0.007572570466975179,0.006310475389145982,0.009676062263357174,0.02524190155658393,0.015565839293226755,0.01851072780816155,0.04291123264619268,0.024400504838031134,0.008942371400080484,0.02168730680768079,1262.0,1077.0,2315.403449726546,2102.474547749264,64.32477913336137,15,0,0.002524190155658393,0.002524190155658393,0.0,0.006731173748422381,0.014724442574673959,0.007993268826251577,0.008834665544804375,0.02187631468237274,0.013041649137568364,0.005644935672474592,0.011559262186056938,4274.0,1229.0,4354.77324358435,2152.916281026504,88.17837610433318,1,1
gte_multilingual_base_768d,zh_char,3,4166,11150,0.0031204992798847817,0.004800768122899664,0.0016802688430148822,0.012962073931829092,0.015122419587133942,0.0021603456553048496,0.024963994239078253,0.023763802208353335,-0.0012001920307249184,0.011590581725010903,0.011524003805447307,4471.5,5551.0,4335.779404704753,4718.646903504561,66.92270763322131,7,0,0.006240998559769563,0.006961113778204513,0.0007201152184349493,0.014642342774843975,0.015362457993278924,0.0007201152184349493,0.018482957273163705,0.019203072491598656,0.000720115218434951,0.010785340978036156,0.011566174728633163,5122.5,5633.0,5018.266442630821,4970.058089294287,72.01152184349496,5,2
gte_multilingual_base_768d,zh_char,5,3682,11150,0.0029875067897881585,0.004617055947854427,0.0016295491580662685,0.013851167843563281,0.015209125475285171,0.00135795763172189,0.026344378055404672,0.023356871265616513,-0.0029875067897881594,0.011810776901960593,0.011262600584488015,4561.5,5590.0,4322.010320478001,4744.161053775122,66.9473112438892,6,0,0.006789788158609452,0.007876154263986964,0.0010863661053775123,0.014665942422596416,0.015752308527973928,0.0010863661053775123,0.018739815317762087,0.019011406844106463,0.0002715915263443759,0.011057502227621302,0.01208962769044221,5207.0,5633.0,5063.965507876154,4982.882400869093,72.37914177077676,5,1
gte_multilingual_base_768d,zh_char,8,2957,11150,0.0037199864727764627,0.005410889414947582,0.001690902942171119,0.016232668244842745,0.01758539059857964,0.0013527223537368946,0.029759891782211702,0.02536354413256679,-0.004396347649644913,0.013336886694899854,0.012485629941170263,4418.0,5605.0,4303.785931687521,4755.985458234697,66.7568481569158,5,0,0.006763611768684477,0.007778153533987149,0.0010145417653026718,0.015218126479540075,0.01657084883327697,0.0013527223537368963,0.019614474129184985,0.020290835306053433,0.0006763611768684473,0.011297734802595546,0.012461237565782633,5193.0,5633.0,5059.043625295908,4972.427122083192,72.8102806898884,4,1
qwen3_0.6b_1024d,cn_def,3,1933,6039,0.004138644593895499,0.005690636316606311,0.0015519917227108122,0.01965856182100362,0.019141231246766685,-0.0005173305742369357,0.03362648732540093,0.03207449560269012,-0.0015519917227108104,0.0167242550511221,0.017809616455547985,1114.0,1005.0,1719.1215726849457,1592.1976202793585,55.04397309881014,3,0,0.0036213140196585617,0.005173305742369374,0.0015519917227108122,0.008794619762027936,0.016554578375581996,0.007759958613554061,0.01189860320744956,0.02586652871184687,0.01396792550439731,0.007536298931711864,0.015020459939703346,2883.0,797.0,2831.1929643041904,1393.3859286083807,85.980341438179,3,0
qwen3_0.6b_1024d,cn_def,5,1505,6039,0.004651162790697674,0.006644518272425249,0.001993355481727575,0.019933554817275746,0.019269102990033222,-0.0006644518272425244,0.03388704318936877,0.03189368770764119,-0.0019933554817275767,0.0171342431702872,0.018560857832259543,1058.0,1024.0,1691.3787375415282,1573.7455149501661,55.14950166112956,3,0,0.0026578073089701,0.004651162790697674,0.0019933554817275745,0.006644518272425249,0.014617940199335547,0.007973421926910298,0.009966777408637873,0.023255813953488372,0.013289036544850499,0.0057357579936078915,0.013612062571299996,2893.0,809.0,2829.8976744186048,1399.1009966777408,86.04651162790698,3,0
qwen3_0.6b_1024d,cn_def,8,944,6039,0.00423728813559322,0.005296610169491525,0.0010593220338983049,0.019067796610169493,0.01694915254237288,-0.0021186440677966115,0.03283898305084746,0.03177966101694915,-0.0010593220338983092,0.01667473609116629,0.017447343982998686,1177.0,1044.5,1708.219279661017,1575.9014830508474,56.99152542372882,1,0,0.00211864406779661,0.00423728813559322,0.00211864406779661,0.007415254237288136,0.015889830508474576,0.008474576271186439,0.01059322033898305,0.025423728813559324,0.014830508474576273,0.0056876112641573145,0.013892163709070378,2807.5,828.0,2805.384533898305,1393.2489406779662,85.48728813559322,2,0
qwen3_0.6b_1024d,en_def_translated_cn_def,3,1933,6039,0.004138644593895499,0.0031039834454216243,-0.0010346611484738748,0.02017589239524056,0.02017589239524056,0.0,0.0346611484738748,0.03517847904811174,0.0005173305742369391,0.016362771525258907,0.015927365998459803,1197.0,1196.0,1806.4883600620797,1749.44076564925,53.54371443352303,0,2,0.0010346611484738748,0.002586652871184687,0.0015519917227108122,0.0046559751681324365,0.012933264355923435,0.008277289187790998,0.00982928091050181,0.020693222969477496,0.010863942058975685,0.004690981990078004,0.012005723202446259,2818.0,1007.0,2856.802897051216,1596.591826176927,84.22141748577342,3,0
qwen3_0.6b_1024d,en_def_translated_cn_def,5,1505,6039,0.0053156146179402,0.003986710963455149,-0.0013289036544850506,0.020598006644518274,0.019269102990033222,-0.0013289036544850523,0.036544850498338874,0.035880398671096346,-0.0006644518272425279,0.017376598203493507,0.016371815268248772,1197.0,1210.0,1813.5647840531562,1742.3760797342193,54.81727574750831,0,2,0.000664451827242525,0.0019933554817275745,0.0013289036544850497,0.003986710963455149,0.011960132890365448,0.0079734219269103,0.009302325581395349,0.019933554817275746,0.010631229235880398,0.003952710756731693,0.011239961942837684,2867.0,1027.0,2904.138870431894,1636.9554817275748,84.65116279069768,2,0
qwen3_0.6b_1024d,en_def_translated_cn_def,8,944,6039,0.006355932203389831,0.00423728813559322,-0.0021186440677966106,0.01694915254237288,0.014830508474576272,-0.0021186440677966097,0.03177966101694915,0.029661016949152543,-0.002118644067796608,0.01668920825460056,0.015284525102294137,1227.0,1216.0,1852.449152542373,1745.8336864406779,56.355932203389834,0,2,0.001059322033898305,0.0031779661016949155,0.0021186440677966106,0.005296610169491525,0.012711864406779662,0.007415254237288137,0.00847457627118644,0.020127118644067795,0.011652542372881354,0.004261413583490663,0.012572017350074818,2887.5,1081.5,2920.2648305084745,1636.1239406779662,84.63983050847457,2,0
qwen3_0.6b_1024d,en_gloss_unihan,3,3636,9152,0.0022002200220022,0.005225522552255226,0.0030253025302530256,0.00825082508250825,0.02942794279427943,0.02117711771177118,0.013201320132013201,0.04455445544554455,0.03135313531353135,0.008685489326552514,0.020553568152768837,1262.0,1227.0,2317.7447744774477,2257.4986248624864,59.35093509350935,15,4,0.0035753575357535755,0.004675467546754675,0.0011001100110010998,0.007150715071507151,0.014026402640264026,0.006875687568756875,0.009625962596259627,0.026402640264026403,0.016776677667766776,0.006512649945298504,0.013728041328594572,4251.0,1196.5,4238.172442244225,2118.319306930693,87.34873487348734,5,1
qwen3_0.6b_1024d,en_gloss_unihan,5,3142,9152,0.0022278803309993636,0.005728835136855506,0.0035009548058561424,0.008911521323997454,0.030872056015276893,0.02196053469127944,0.014003819223424571,0.04614894971355824,0.03214513049013367,0.009023128290309379,0.021609360668321444,1244.5,1169.0,2303.504455760662,2224.4697644812222,60.56651814131126,15,4,0.002546148949713558,0.0038192234245703373,0.0012730744748567792,0.005728835136855506,0.012412476129853597,0.006683640992998091,0.0076384468491406746,0.023870146403564607,0.016231699554423933,0.005059310430660227,0.01240784513435611,4289.0,1200.5,4281.693825588797,2137.8790579248885,87.77848504137492,4,0
qwen3_0.6b_1024d,en_gloss_unihan,8,2377,9152,0.002524190155658393,0.005469078670593185,0.002944888514934792,0.010096760622633571,0.032393773664282706,0.022297013041649133,0.015986537652503154,0.04711821623895667,0.031131678586453517,0.009840604822261177,0.02203685174358589,1237.0,1166.0,2272.6095919225913,2192.373159444678,61.5061001262095,10,3,0.002524190155658393,0.0037862852334875894,0.0012620950778291966,0.005889777029869584,0.013041649137568364,0.00715187210769878,0.007572570466975179,0.023559108119478336,0.015986537652503158,0.0049278185364357305,0.012535846601116167,4368.0,1227.0,4326.267984854859,2177.0521665965503,87.42111905763568,3,0
qwen3_0.6b_1024d,zh_char,3,4166,11150,0.0043206913106096975,0.00672107537205953,0.0024003840614498324,0.015122419587133942,0.022323571771483437,0.007201152184349495,0.024243879020643302,0.037926068170907344,0.013682189150264042,0.01362842014067446,0.01974819504014383,1244.5,837.0,2326.2995679308688,1989.7813250120018,67.81084973595776,12,2,0.0043206913106096975,0.009601536245799328,0.00528084493518963,0.010081613058089293,0.022323571771483437,0.012241958713394143,0.012481997119539127,0.03888622179548728,0.026404224675948152,0.008409027954960405,0.021174063847559748,3998.5,971.5,4464.522083533366,1989.7808449351896,88.11809889582332,24,2
qwen3_0.6b_1024d,zh_char,5,3682,11150,0.004617055947854427,0.007061379684953829,0.0024443237370994023,0.016023900054318304,0.022542096686583378,0.006518196632265074,0.025258011950027158,0.038294405214557306,0.013036393264530148,0.014001339063673183,0.020167914831509273,1228.5,834.5,2298.61515480717,1954.4231395980446,68.35958718087996,11,2,0.0035306898424769147,0.008962520369364476,0.005431830526887562,0.009505703422053232,0.022270505160239002,0.01276480173818577,0.012221618685497012,0.03612167300380228,0.023900054318305268,0.0075816809292938575,0.020577355145568157,4008.0,953.0,4457.773492667029,1982.7824551873982,88.26724606192286,22,2
qwen3_0.6b_1024d,zh_char,8,2957,11150,0.00439634764964491,0.007101792357118702,0.0027054447074737918,0.015556307067974298,0.022658099425093,0.007101792357118702,0.02603990530943524,0.039567128846804196,0.013527223537368956,0.014126490823086256,0.020562416785718164,1182.0,823.0,2277.528238079134,1937.4971254649984,68.51538721677376,9,1,0.0033818058843422386,0.00879269529928982,0.005410889414947582,0.009807237064592493,0.022658099425093,0.012850862360500507,0.013189042948934731,0.036185322962461956,0.022996280013527225,0.007485719421396955,0.020483140507839205,3949.0,971.0,4441.5437943862025,1984.2472100101454,87.99458911058505,18,2
qwen3_4b_2560d_int8,cn_def,3,1933,6039,0.005690636316606311,0.006207966890843249,0.0005173305742369374,0.024831867563372995,0.02379720641489912,-0.0010346611484738748,0.04190377651319193,0.04604242110708743,0.004138644593895499,0.020281344500574602,0.020808251966102573,1039.0,1006.0,1688.2276254526641,1597.4428349715467,53.388515261251946,3,2,0.002586652871184687,0.0031039834454216243,0.0005173305742369374,0.00982928091050181,0.01758923952405587,0.007759958613554061,0.01396792550439731,0.026901189860320744,0.012933264355923435,0.007570519319523045,0.015387965691491966,2734.0,843.0,2795.4573202276256,1377.6063114330057,85.51474392136575,2,1
qwen3_4b_2560d_int8,cn_def,5,1505,6039,0.0053156146179402,0.007308970099667774,0.001993355481727574,0.023920265780730896,0.02458471760797342,0.0006644518272425244,0.0425249169435216,0.045182724252491695,0.0026578073089700976,0.02001828590852686,0.021380423736579748,1020.0,971.0,1660.8691029900333,1573.6365448504982,53.156146179402,3,0,0.00132890365448505,0.0026578073089701,0.00132890365448505,0.007308970099667774,0.015282392026578074,0.0079734219269103,0.0106312292358804,0.023920265780730896,0.013289036544850497,0.00565967825925565,0.014191120488065702,2787.0,813.0,2809.830564784053,1367.0079734219269,85.98006644518273,2,0
qwen3_4b_2560d_int8,cn_def,8,944,6039,0.005296610169491525,0.007415254237288136,0.0021186440677966106,0.025423728813559324,0.025423728813559324,0.0,0.045550847457627115,0.048728813559322036,0.0031779661016949207,0.021174266476292183,0.02222219337399745,1061.5,960.5,1686.5444915254238,1566.2913135593221,54.8728813559322,2,0,0.001059322033898305,0.00211864406779661,0.001059322033898305,0.00847457627118644,0.014830508474576272,0.006355932203389831,0.01059322033898305,0.025423728813559324,0.014830508474576273,0.005887138598085063,0.013764526493972853,2806.0,825.0,2813.5667372881358,1351.6165254237287,86.22881355932203,1,0
