model,channel,minimum_other_training_families,eligible_heldout_edges,candidate_anchor_count,candidate_character_count,inverse_percent_rank_improved,inverse_percent_rank_worsened,inverse_top1_rescues,inverse_top1_losses,inverse_net_top1_gain,inverse_baseline_recall_at_1,inverse_baseline_recall_at_5,inverse_baseline_recall_at_10,inverse_baseline_mrr,inverse_baseline_median_rank,inverse_offset_recall_at_1,inverse_offset_recall_at_5,inverse_offset_recall_at_10,inverse_offset_mrr,inverse_offset_median_rank,inverse_baseline_mean_percentile_rank,inverse_offset_mean_percentile_rank,forward_baseline_recall_at_1,forward_baseline_recall_at_5,forward_baseline_recall_at_10,forward_baseline_mrr,forward_baseline_median_rank,forward_offset_recall_at_1,forward_offset_recall_at_5,forward_offset_recall_at_10,forward_offset_mrr,forward_offset_median_rank,human_interpretation,uniform_top1_reference
bge_m3_1024d,zh_char,5,5179,1171,11150,58.94960417068932,33.7130720216258,11,7,4,0.014481560146746475,0.031087082448349103,0.04035528094226685,0.026857718233011453,487.0,0.015253910021239622,0.032631782197335396,0.043830855377486,0.028477799564392507,483.0,0.5612169791548051,0.5650227826709773,0.010426723305657463,0.017377872176095772,0.023363583703417647,0.015189818962373395,5050.0,0.011392160648773894,0.01911565939370535,0.023363583703417647,0.015838344108231265,5625.0,,
bge_m3_1024d,zh_char,8,5073,1171,11150,59.43228858663513,33.27419672777449,11,7,4,0.014192785334121822,0.03075103489059728,0.04021289178001183,0.02658809640097438,488.0,0.0149812734082397,0.03252513305736251,0.04376108811354228,0.028317770830584062,483.0,0.5612025117051728,0.5660727734057125,0.009856100926473488,0.016952493593534398,0.023063276167947958,0.014689629941766605,5048.0,0.011038833037650306,0.018726591760299626,0.023063276167947958,0.015507817578264582,5624.0,,
gte_multilingual_base_768d,cn_def,3,2960,1053,6039,54.15540540540541,43.648648648648646,4,7,-3,0.013513513513513514,0.02668918918918919,0.03648648648648649,0.023918702457388575,517.0,0.0125,0.025675675675675677,0.033445945945945944,0.02337949647485602,500.0,0.5197664037611757,0.5249441218785326,0.005067567567567568,0.011824324324324325,0.016216216216216217,0.009664046609536639,2664.0,0.0057432432432432436,0.015540540540540541,0.023310810810810812,0.015075983119349271,923.0,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.35% before relation subtraction and 1.25% afterward.",0.000949667616334283
gte_multilingual_base_768d,cn_def,5,2883,1053,6039,54.075615678113074,43.66978841484565,4,7,-3,0.01387443635102324,0.027055150884495317,0.036073534512660425,0.02421112841521662,517.0,0.012833853624696497,0.025667707249392994,0.03364550815123136,0.02349365066130506,501.0,0.5194525664410092,0.5241661819845983,0.005202913631633715,0.012140131807145335,0.01664932362122789,0.009832497901129951,2664.0,0.005896635449184877,0.015955601803676726,0.023239680887963927,0.015211527702628026,917.0,,
gte_multilingual_base_768d,cn_def,8,2790,1053,6039,54.33691756272402,43.333333333333336,4,7,-3,0.014336917562724014,0.02795698924731183,0.036917562724014336,0.02485236403174493,515.5,0.013261648745519713,0.026523297491039426,0.03476702508960573,0.024113238011137152,499.0,0.521846763972362,0.5263151259931586,0.005376344086021506,0.012544802867383513,0.017204301075268817,0.01012133799840353,2661.0,0.005734767025089606,0.016129032258064516,0.023297491039426525,0.01493516971917103,921.5,,
gte_multilingual_base_768d,en_def_translated_cn_def,3,2960,1053,6039,53.783783783783775,43.88513513513514,10,2,8,0.009121621621621622,0.024324324324324326,0.031081081081081083,0.02049507573362878,475.0,0.011824324324324325,0.024662162162162164,0.030743243243243245,0.02235703619962914,480.0,0.5313450570342205,0.5336967552152914,0.005405405405405406,0.011486486486486487,0.018243243243243244,0.009717160825214982,2723.5,0.006418918918918919,0.017905405405405406,0.026013513513513515,0.0153945870769726,914.0,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 0.91% before relation subtraction and 1.18% afterward.",0.000949667616334283
gte_multilingual_base_768d,en_def_translated_cn_def,5,2883,1053,6039,53.93687131460284,43.73916059660076,10,2,8,0.009018383628165106,0.02462712452306625,0.03156434269857787,0.020585593793969525,476.0,0.011793270898369753,0.02497398543184183,0.031217481789802288,0.022506665537994793,481.0,0.5314472936276509,0.5340065468347953,0.005549774540409296,0.011446409989594173,0.018383628165105793,0.009779058706875713,2728.0,0.0065903572667360385,0.018036767256330213,0.026361429066944154,0.015602144661951638,903.0,,
gte_multilingual_base_768d,en_def_translated_cn_def,8,2790,1053,6039,54.15770609318996,43.47670250896057,10,2,8,0.00931899641577061,0.025089605734767026,0.03225806451612903,0.02110446403561232,474.0,0.012186379928315413,0.025806451612903226,0.03225806451612903,0.02314132365714764,478.5,0.5333793286724723,0.5364150210556441,0.005734767025089606,0.011827956989247311,0.01899641577060932,0.01006762595988345,2723.5,0.006810035842293907,0.017921146953405017,0.025448028673835124,0.015406633371659309,932.0,,
gte_multilingual_base_768d,en_gloss_unihan,3,4648,1155,9152,55.33562822719449,41.93201376936317,12,8,4,0.012478485370051634,0.03356282271944923,0.04475043029259897,0.026217583417673034,523.0,0.01333907056798623,0.03248709122203098,0.04238382099827883,0.026614782675904336,509.5,0.5399161637886033,0.5523120583348498,0.005593803786574871,0.012048192771084338,0.016351118760757316,0.010072128035461808,4121.5,0.007530120481927711,0.019793459552495698,0.03119621342512909,0.01682895365739522,1208.5,"Across 4,648 held-out cases, the correct phonophore/source anchor was rank 1 in 1.25% before relation subtraction and 1.33% afterward.",0.0008658008658008658
gte_multilingual_base_768d,en_gloss_unihan,5,4585,1155,9152,55.35441657579062,41.91930207197383,12,8,4,0.012431842966194111,0.03358778625954199,0.04449291166848419,0.02613244723591851,521.0,0.013304252998909487,0.032497273718647766,0.04231188658669575,0.026577350687810745,508.0,0.5406880245847264,0.5526787486132346,0.0056706652126499455,0.012213740458015267,0.016357688113413305,0.010165341410001284,4101.0,0.007633587786259542,0.01941112322791712,0.030534351145038167,0.01674153729901174,1209.0,,
