channel,relation_class,models,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
en_def_translated_cn_def,玉,4,,,
en_def_translated_cn_def,王,4,0.2861808229493402,0.021531632010653598,0.0081381150724332
en_def_translated_cn_def,瓜,4,,,
en_def_translated_cn_def,瓦,4,0.4288731049746275,0.0573594736548384,0.0075061953996682
en_def_translated_cn_def,田,4,0.14289324078708884,0.010983647235783024,0.03397754771086085
en_def_translated_cn_def,男,4,,,
en_def_translated_cn_def,畢,4,,,
en_def_translated_cn_def,疒,4,0.2712106071291297,0.006313115255262975,0.011817753598839175
en_def_translated_cn_def,癶,4,,,
en_def_translated_cn_def,白,4,0.18323163515222923,0.016455426942046297,0.002805112149496475
en_def_translated_cn_def,皮,4,,,
en_def_translated_cn_def,皿,4,0.29514677005095613,0.025104903970780124,0.005417257764789625
en_def_translated_cn_def,目,4,0.26774723351991264,0.009942096181074424,0.007903923739954074
en_def_translated_cn_def,矛,4,,,
en_def_translated_cn_def,矢,4,0.03306014157715252,0.0007895539202060001,0.0034048426929250497
en_def_translated_cn_def,石,4,0.18181857167510312,0.004141040392501525,0.0065562393015105745
en_def_translated_cn_def,示,4,0.04012983532156787,0.0050141142401962996,0.006098043271846775
en_def_translated_cn_def,礻,4,0.2150393410527613,0.022388213304848876,0.0269060806808113
en_def_translated_cn_def,禾,4,0.12025422326289112,0.004449149773550175,0.009480584387379525
en_def_translated_cn_def,穴,4,0.06110856284880457,0.0020425039837979,0.005602228290346975
en_def_translated_cn_def,立,4,0.08715876069618385,0.000613093218501025,0.00214600021715415
en_def_translated_cn_def,竹,4,0.26126695961491864,0.024145967822026524,0.029562804501181074
en_def_translated_cn_def,箕,4,,,
en_def_translated_cn_def,米,4,0.20982836295083596,0.010693128107814549,0.009846833445009577
en_def_translated_cn_def,糸,4,0.2079958066889884,0.014791589416574826,0.027289378493297975
en_def_translated_cn_def,縣,4,,,
en_def_translated_cn_def,缶,4,,,
en_def_translated_cn_def,网,4,,,
en_def_translated_cn_def,羊,4,,,
en_def_translated_cn_def,羽,4,0.09549698680971874,0.0056903529130433,0.02003385039561175
en_def_translated_cn_def,習,4,,,
en_def_translated_cn_def,老,4,,,
en_def_translated_cn_def,耒,4,0.11747680235809332,0.01088317909825435,0.0021690006978484
