model,relation_class,channels,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
gte_multilingual_base_768d,子,4,0.1073256433010101,0.00969277289162095,0.00139359644553985
gte_multilingual_base_768d,學,4,,,
gte_multilingual_base_768d,宀,4,0.1087240055999866,0.002649758079651075,0.014239853649128425
gte_multilingual_base_768d,寸,4,,,
gte_multilingual_base_768d,尢,4,,,
gte_multilingual_base_768d,尸,4,0.06101812741327435,0.000618423391903975,0.01673833874770545
gte_multilingual_base_768d,尺,4,,,
gte_multilingual_base_768d,履,4,,,
gte_multilingual_base_768d,山,4,0.25934636588085613,0.024439751324095774,0.02800196755224675
gte_multilingual_base_768d,屾,1,,,
gte_multilingual_base_768d,工,4,,,
gte_multilingual_base_768d,巫,2,,,
gte_multilingual_base_768d,巾,4,0.21549826174252765,0.010412253748040126,0.0153577030547081
gte_multilingual_base_768d,幺,4,,,
gte_multilingual_base_768d,广,4,0.1555868944084449,0.033347869887766675,0.04519232314043893
gte_multilingual_base_768d,庚,4,,,
gte_multilingual_base_768d,廾,4,,,
gte_multilingual_base_768d,弓,4,0.1465748354999555,0.0019381831494832999,0.0050394702115567
gte_multilingual_base_768d,彡,4,0.018278475107979898,0.006384996732021275,0.019344060427551928
gte_multilingual_base_768d,彣,2,,,
gte_multilingual_base_768d,彳,4,0.12806894656916198,0.0164914627467713,0.03467006514467705
gte_multilingual_base_768d,微,4,,,
gte_multilingual_base_768d,心,4,0.19796286774971597,0.019639294682726426,0.0314711081496319
gte_multilingual_base_768d,忄,4,0.23681207447443015,0.0094065478864565,0.021083077506718926
gte_multilingual_base_768d,恣,4,,,
gte_multilingual_base_768d,戈,4,0.11668448800672634,0.0023462851459307,0.0038007498171906
gte_multilingual_base_768d,戊,4,,,
gte_multilingual_base_768d,戶,4,0.13907755352556705,0.0006465263518086999,0.00769214902145695
gte_multilingual_base_768d,手,4,0.20555752860936555,0.00716910853770945,0.00644801844242985
gte_multilingual_base_768d,扌,4,0.19387463688208922,0.017839384861533275,0.0342348962501877
gte_multilingual_base_768d,支,2,,,
gte_multilingual_base_768d,攴,4,0.4231298334896564,0.0005796120824949,0.0022351728388399
gte_multilingual_base_768d,攵,4,0.09487341794145657,0.0107062747004977,0.04689570573025588
gte_multilingual_base_768d,敕,4,,,
gte_multilingual_base_768d,文,4,,,
gte_multilingual_base_768d,斗,4,0.026864590881658476,0.000936125859388625,0.005610256738292625
gte_multilingual_base_768d,斤,4,0.07398771678563207,0.001867670598480925,0.00539004553365705
gte_multilingual_base_768d,日,4,0.19976002616283128,0.0396683823544384,0.0758849782704446
gte_multilingual_base_768d,旨,4,,,
gte_multilingual_base_768d,是,4,,,
gte_multilingual_base_768d,曰,4,,,
gte_multilingual_base_768d,月,4,0.19060416951025316,0.022169123375243776,0.030685015028065424
gte_multilingual_base_768d,木,4,0.2321696083515034,0.0101810414228337,0.02046767903962065
gte_multilingual_base_768d,東,2,,,
gte_multilingual_base_768d,林,4,-0.009059910879780822,0.0212357960152066,0.04351078339067288
gte_multilingual_base_768d,欠,4,0.11125465436018113,0.0109232535673629,0.03506813224194375
gte_multilingual_base_768d,止,4,,,
gte_multilingual_base_768d,步,4,,,
gte_multilingual_base_768d,歹,4,0.20728602001401447,0.02434913438911555,0.018700109283780877
gte_multilingual_base_768d,死,4,,,
gte_multilingual_base_768d,殳,4,,,
gte_multilingual_base_768d,比,4,,,
gte_multilingual_base_768d,毛,4,0.1603548237484776,0.006911851380827424,0.00723720071671035
gte_multilingual_base_768d,民,4,,,
gte_multilingual_base_768d,气,4,,,
gte_multilingual_base_768d,水,4,0.07758054544683543,0.0003626994852516,0.00452219474872145
gte_multilingual_base_768d,氵,4,0.23611555506837342,0.015871705498134426,0.028049092894949
gte_multilingual_base_768d,火,4,0.23405317595338093,0.045692877065288774,0.06073324017162182
gte_multilingual_base_768d,灬,4,,,
gte_multilingual_base_768d,炎,1,,,
gte_multilingual_base_768d,爪,4,,,
gte_multilingual_base_768d,爭,4,,,
gte_multilingual_base_768d,父,4,,,
gte_multilingual_base_768d,爿,4,,,
gte_multilingual_base_768d,片,4,,,
gte_multilingual_base_768d,牛,4,,,
gte_multilingual_base_768d,牜,4,0.12769307160735244,0.029135969741972325,0.0157976325182344
gte_multilingual_base_768d,犬,4,-0.02332112392565855,0.020075475841644173,0.1023695743102201
gte_multilingual_base_768d,犭,4,0.19001886121125863,0.0021768092768036,0.0105401176801408
gte_multilingual_base_768d,玄,2,,,
gte_multilingual_base_768d,玉,4,,,
gte_multilingual_base_768d,王,4,0.2858538592252227,0.027764079278466948,0.03531391690812333
gte_multilingual_base_768d,瓜,4,,,
gte_multilingual_base_768d,瓦,4,0.3820921187135544,0.023582791783496,0.00841262223537425
gte_multilingual_base_768d,田,4,0.1678437527090024,0.0219886705560009,0.027753245164279374
gte_multilingual_base_768d,申,2,,,
gte_multilingual_base_768d,男,4,,,
gte_multilingual_base_768d,甾,1,,,
gte_multilingual_base_768d,畢,4,,,
gte_multilingual_base_768d,疒,4,0.2917407832969424,0.0120528081182445,0.01993460873175915
gte_multilingual_base_768d,癶,4,,,
gte_multilingual_base_768d,白,4,0.203212056774646,0.012431067279589475,0.0062967396183486995
gte_multilingual_base_768d,皮,4,0.0910894069820642,0.0002102444488019,0.0027239796703264
gte_multilingual_base_768d,皿,4,0.185334904109965,0.011200288220762175,0.011460860250065
gte_multilingual_base_768d,目,4,0.2997922386626562,0.015942883132897774,0.014421313614368474
gte_multilingual_base_768d,盾,1,,,
gte_multilingual_base_768d,矛,4,,,
gte_multilingual_base_768d,矢,4,0.05003515029481302,0.0005177753842764251,0.001969836976172325
gte_multilingual_base_768d,石,4,0.2174059951396013,0.01129940427220085,0.022522442728606276
gte_multilingual_base_768d,示,4,0.08358597513288255,0.003312112546149425,0.0640693325112453
gte_multilingual_base_768d,礻,4,0.22481026133569076,0.0109032066168171,0.01728485024282825
gte_multilingual_base_768d,禾,4,0.17091468622455835,0.010842749492570025,0.0134340449994354
gte_multilingual_base_768d,穴,4,0.14394913907388568,0.010777017591702999,0.015908644483667276
gte_multilingual_base_768d,立,4,0.012939961557276523,0.0011637507241885748,0.0047131857866815
gte_multilingual_base_768d,竹,4,0.263163330468421,0.01968996377523195,0.03002481679924545
gte_multilingual_base_768d,箕,4,,,
gte_multilingual_base_768d,米,4,0.2457109111583651,0.022176872173071176,0.020463383972848775
gte_multilingual_base_768d,糸,4,0.23768870666722378,0.009262517335626101,0.0198685105551119
gte_multilingual_base_768d,縣,4,,,
gte_multilingual_base_768d,缶,4,-0.0219496227800846,0.0168236441880343,0.0305431801343725
gte_multilingual_base_768d,网,4,,,
gte_multilingual_base_768d,罒,2,0.1908633645623922,0.00050611163378865,0.00294830712078545
gte_multilingual_base_768d,羊,4,0.18537284580525004,0.0219399785517179,0.01913011746238805
