relation_class,n_training_families,replicate,held_out_family,heldout_offset_cosine,model,channel
䖵,2,19,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,20,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,21,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,22,ROOT-5F56,-0.0441363453865051,bge_m3_1024d,cn_def
䖵,2,23,ROOT-77DB,-0.020299507305026,bge_m3_1024d,cn_def
䖵,2,24,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,25,ROOT-77DB,-0.020299507305026,bge_m3_1024d,cn_def
䖵,2,26,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,27,ROOT-77DB,-0.020299507305026,bge_m3_1024d,cn_def
䖵,2,28,ROOT-77DB,-0.020299507305026,bge_m3_1024d,cn_def
䖵,2,29,ROOT-77DB,-0.020299507305026,bge_m3_1024d,cn_def
一,1,0,ROOT-4E0D,-0.0183061342686414,bge_m3_1024d,cn_def
一,1,1,ROOT-41C2,0.0372936651110649,bge_m3_1024d,cn_def
一,1,2,ROOT-41C2,-0.0183061342686414,bge_m3_1024d,cn_def
一,1,3,ROOT-41C2,-0.0183061342686414,bge_m3_1024d,cn_def
一,1,4,ROOT-4E0D,-0.0183061342686414,bge_m3_1024d,cn_def
一,1,5,ROOT-767D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,6,ROOT-767D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,7,ROOT-767D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,8,ROOT-4E0D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,9,ROOT-4E0D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,10,ROOT-767D,0.0372936651110649,bge_m3_1024d,cn_def
一,1,11,ROOT-767D,0.0372936651110649,bge_m3_1024d,cn_def
一,1,12,ROOT-41C2,-0.0183061342686414,bge_m3_1024d,cn_def
一,1,13,ROOT-767D,0.0372936651110649,bge_m3_1024d,cn_def
一,1,14,ROOT-4E0D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,15,ROOT-41C2,0.0372936651110649,bge_m3_1024d,cn_def
一,1,16,ROOT-767D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,17,ROOT-4E0D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,18,ROOT-41C2,0.0372936651110649,bge_m3_1024d,cn_def
一,1,19,ROOT-41C2,0.0372936651110649,bge_m3_1024d,cn_def
一,1,20,ROOT-767D,0.0372936651110649,bge_m3_1024d,cn_def
一,1,21,ROOT-41C2,-0.0183061342686414,bge_m3_1024d,cn_def
一,1,22,ROOT-4E0D,-0.0183061342686414,bge_m3_1024d,cn_def
一,1,23,ROOT-767D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,24,ROOT-767D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,25,ROOT-41C2,0.0372936651110649,bge_m3_1024d,cn_def
一,1,26,ROOT-4E0D,0.0571749657392501,bge_m3_1024d,cn_def
一,1,27,ROOT-41C2,0.0372936651110649,bge_m3_1024d,cn_def
一,1,28,ROOT-767D,0.0372936651110649,bge_m3_1024d,cn_def
一,1,29,ROOT-767D,0.0571749657392501,bge_m3_1024d,cn_def
一,2,0,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,1,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,2,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
