edge_row,derived_character,p_anchor,s_component_canonical,s_independent_character,conditions,conditions_improved,top1_rescues,top1_losses,mean_rank_change
EDGE-05837,裛,邑,衣,衣,8,7,0,0,580.375
EDGE-02019,婤,周,女,女,8,7,0,0,575.625
EDGE-01926,趌,吉,走,走,8,7,0,0,571.0
EDGE-03815,鉥,朮,釒,金,8,7,0,0,565.125
EDGE-02482,晻,奄,日,日,8,7,0,0,561.75
EDGE-00787,輗,兒,車,車,8,7,0,0,561.5
EDGE-00374,侉,夸,亻,人,8,7,0,0,558.0
EDGE-03682,蕩,湯,艹,艸,8,7,0,0,558.0
EDGE-04696,喈,皆,口,口,8,7,0,0,554.625
EDGE-01799,攲,奇,支,支,8,7,0,0,554.25
EDGE-01258,鞄,包,革,革,8,7,0,0,553.0
EDGE-01529,脁,兆,肉,肉,8,7,0,0,546.875
EDGE-03763,噆,朁,口,口,8,7,0,0,543.5
EDGE-03296,柲,必,木,木,8,7,0,0,531.375
EDGE-05145,趯,翟,走,走,8,7,0,0,529.0
EDGE-01269,昫,句,日,日,8,7,0,0,527.875
EDGE-03883,惏,林,忄,心,8,7,0,0,526.375
EDGE-03536,鏨,斬,金,金,8,7,0,0,525.25
EDGE-04726,饎,喜,飠,食,8,7,0,0,518.0
EDGE-05120,樛,翏,木,木,8,7,0,0,514.75
EDGE-05271,蠃,𣎆,虫,虫,8,7,0,0,506.0
EDGE-03533,磛,斬,石,石,8,7,0,0,498.25
EDGE-02988,餕,夋,飠,食,8,7,0,0,493.0
EDGE-05119,摎,翏,扌,手,8,7,0,0,491.75
EDGE-01314,昒,勿,日,日,8,7,0,0,491.375
EDGE-04283,煖,爰,火,火,8,7,0,0,488.625
EDGE-02312,牼,巠,牜,牛,8,7,0,0,481.125
EDGE-05108,毾,𦐇,毛,毛,8,7,0,0,477.75
EDGE-00764,跣,先,𧾷,足,8,7,0,0,475.625
EDGE-04751,熅,𥁕,火,火,8,7,0,0,473.75
EDGE-00311,訄,九,言,言,8,7,0,0,469.5
EDGE-00132,泙,平,氵,水,8,7,0,0,463.125
EDGE-01291,汋,勺,氵,水,8,7,0,0,444.5
EDGE-01293,玓,勺,王,玉,8,7,0,0,442.625
EDGE-00087,岨,且,山,山,8,7,0,0,441.125
EDGE-04188,滉,晃,氵,水,8,7,0,0,441.0
